,Nodes
0,130068
1,274444
2,8314
3,103061
4,274704
5,144710
6,250431
7,43043
8,247744
9,84202
10,172832
11,97352
12,112754
13,203129
14,120237
15,278378
16,218356
17,1227
18,8583
19,186126
20,168731
21,264009
22,191009
23,253754
24,51510
25,180286
26,180569
27,238213
28,158009
29,164943
30,90323
31,262690
32,264736
33,139409
34,76754
35,127236
36,223558
37,194983
38,257171
39,39570
40,243957
41,14641
42,190842
43,190345
44,70048
45,50126
46,184433
47,178626
48,73683
49,138480
50,50334
51,121439
52,32995
53,179637
54,90353
55,132074
56,100424
57,101517
58,265058
59,68775
60,27909
61,212530
62,158110
63,76527
64,88776
65,208196
66,103937
67,270707
68,160957
69,66582
70,76903
71,166248
72,273665
73,24719
74,170233
75,109561
76,31909
77,99142
78,221701
79,44264
80,153298
81,253449
82,63932
83,166248
84,237368
85,12495
86,269281
87,254749
88,157231
89,255757
90,87855
91,103562
92,47304
93,162784
94,198803
95,103863
96,88391
97,55441
98,238170
99,215116
100,249545
101,274328
102,118152
103,144010
104,202529
105,235827
106,143599
107,1738
108,16362
109,187477
110,229770
111,243527
112,23909
113,24142
114,134223
115,174129
116,104095
117,28543
118,116725
119,258387
120,166524
121,150747
122,264065
123,123742
124,140179
125,210540
126,215312
127,193831
128,114081
129,238900
130,173729
131,156580
132,141184
133,277778
134,14821
135,265128
136,144641
137,110906
138,265529
139,237934
140,19285
141,264209
142,218239
143,122638
144,277640
145,43122
146,209302
147,68430
148,264593
149,223524
150,176443
151,263707
152,43254
153,210104
154,84533
155,189474
156,186605
157,37255
158,91335
159,153311
160,78151
161,51026
162,164361
163,232257
164,27712
165,71775
166,58822
167,108456
168,264909
169,15113
170,271545
171,55398
172,201364
173,267894
174,237973
175,238013
176,191870
177,129502
178,195556
179,108987
180,92265
181,11405
182,116235
183,265755
184,188865
185,148848
186,76489
187,25570
188,278549
189,69081
190,22460
191,42020
192,222052
193,166080
194,86350
195,36234
196,186188
197,239343
198,141697
199,272698
200,87165
201,2122
202,280064
203,177771
204,262079
205,50405
206,272623
207,161210
208,20080
209,33602
210,259353
211,123797
212,193756
213,240274
214,173503
215,10897
216,63967
217,250894
218,274709
219,218502
220,263876
221,67920
222,88746
223,219259
224,76068
225,100562
226,156376
227,181209
228,31005
229,269888
230,187794
231,141260
232,71757
233,24912
234,189325
235,146131
236,249117
237,123094
238,29944
239,199997
240,113410
241,58760
242,5132
243,270497
244,213817
245,41582
246,97851
247,274997
248,2402
249,171861
250,162294
251,28941
252,8467
253,241103
254,141539
255,233976
256,181433
257,194901
258,76464
259,7781
260,191710
261,189265
262,244354
263,144570
264,26393
265,131022
266,280322
267,228314
268,224765
269,168966
270,11887
271,25875
272,168279
273,5679
274,149021
275,233406
276,95783
277,183194
278,154574
