FromNode,ToNode
119003,121796
66729,54398
66729,87630
66729,141601
190468,249067
77944,18743
272992,12051
248664,259455
69810,63289
69810,86286
69810,254003
162603,12308
266857,109477
266857,132284
233719,263654
204529,226103
204529,259455
204529,264790
64967,49817
31334,11442
64112,3249
64112,172942
21099,266325
159961,175413
70374,1738
208634,110484
208634,120184
21405,41272
141287,156554
157166,45716
157166,259455
259346,78727
238768,1724
238768,62812
238768,184746
16185,173147
59815,56978
59815,62025
41546,255359
1625,60904
162339,143378
162339,259455
162339,264790
159962,47258
159962,259455
3084,13098
254605,55141
254605,117625
3740,71843
3740,173559
4215,150390
16460,48591
185213,13362
254636,157489
255148,248853
102607,122262
102607,182775
128451,40605
128451,125508
116650,86939
116650,235570
226396,116989
226396,130160
119899,135145
8792,151981
218749,174533
229542,84382
229542,125846
151154,192935
169912,8261
169912,24636
169912,36042
169912,63076
169912,136491
169912,145569
169912,149021
169912,166335
169912,247743
169912,252995
169912,253079
271299,259455
1291,124950
128906,109247
63129,228513
63129,259538
130218,123759
142496,212144
125866,19470
125866,53055
220252,53365
220252,162295
105119,119296
105119,146271
105119,173147
231854,128893
231854,152194
231854,259455
231854,266159
192545,149480
192545,259455
170184,272193
170184,276085
280618,270693
52250,60477
52250,266586
52250,270102
252421,8261
45039,42892
56496,158377
247789,263414
125305,245277
173818,167999
29800,135145
162712,202001
192387,177216
67292,48685
67292,64259
67292,246204
256145,261350
15580,249989
157821,151981
157821,255096
157821,279773
30815,263035
27996,126063
144327,57753
281324,66694
179661,178129
114412,151981
35806,51047
218695,191052
48902,86896
48902,213780
236089,57097
236089,114813
277321,67762
277321,177985
277321,218460
277321,238139
277321,246117
193286,200584
184203,87268
184203,228151
176546,2103
115819,272323
203841,201641
4691,113876
247258,84382
6110,57884
223330,227709
66500,55407
66500,63708
53122,19470
53122,53055
239754,94374
134038,250069
90370,54368
90370,64339
180429,143004
180429,196326
180429,244389
233114,80916
63152,260126
109081,113012
168904,111970
168904,227545
162160,173154
2111,135643
2111,259455
59823,96153
59823,96739
59823,202641
19782,19470
19782,53055
210432,195199
251506,214442
102720,173147
201162,147044
6521,259455
84720,80899
117104,165950
8247,228248
93094,151981
60600,256332
60600,266153
142624,259455
274513,138135
160765,222660
131026,213780
45278,259455
65682,22272
65682,278409
218257,14225
218257,165950
8101,161120
113155,52414
113155,53201
113155,171076
113155,263098
113155,277025
113155,280299
132773,73981
11091,198652
88082,22272
88082,43111
88082,238139
88082,278409
240510,1643
160326,259455
94732,71191
94732,83473
272739,65759
257899,122326
263820,165950
185848,190772
98647,114813
159939,270237
73113,192404
85052,131715
255752,259455
69270,259455
181211,210817
258928,172628
105578,49468
105578,259455
263284,102771
267363,165950
126846,20468
126846,201497
237146,114813
169353,193312
13913,43179
13913,112784
27185,134164
43975,55236
43975,133688
43975,163583
161544,235266
71387,263470
272829,253527
11760,56321
11760,77132
181227,64468
181227,74131
181227,235643
213801,84382
207322,106237
207322,164262
96366,12194
273020,126125
67394,41122
67394,160831
67394,248493
239382,242601
194896,229835
109473,19470
109473,53055
7047,3857
244886,241480
11268,19470
11268,53055
273899,271767
165781,10551
165781,84031
20748,184595
209374,127051
273043,248565
113887,109331
87849,161514
87849,167818
87849,173726
125508,40605
125508,128451
252495,76079
252495,259455
180988,179385
53464,76806
99738,24057
99738,51628
99738,86939
99738,104804
99738,235570
180769,161226
187463,197935
27131,115624
271531,198513
28186,122210
249365,92539
249365,259455
168145,48255
168145,118440
168145,171305
168145,181491
168145,232704
163070,146804
112167,42916
112167,213086
69288,210750
88823,84382
88823,87834
209670,108475
209670,154924
209670,221119
209670,267208
209670,279467
28306,65881
28306,145446
29418,59563
29418,109477
29418,115018
29418,132284
29418,201497
29418,206264
29418,217548
29418,229212
29418,232564
280071,19470
280071,53055
22597,202063
22597,259455
153956,156904
17773,37911
17773,124319
107131,130318
60754,37442
229617,40940
229617,149863
229617,159569
229617,189938
229617,194518
229617,222491
229617,240898
229617,271994
33312,880
33312,11795
33312,62863
33312,82021
33312,97512
33312,109115
33312,120450
33312,150463
33312,158054
33312,174464
33312,224219
33312,225901
33312,245675
33312,264349
257896,68006
185539,65949
5853,55141
199563,194503
199563,205981
181414,96266
192947,19470
192947,53055
154192,117102
154192,180523
154192,203500
275931,214442
191724,68382
191724,84941
75672,19470
75672,53055
201499,110484
201499,120184
86233,151981
114072,165950
158209,223185
8744,24057
8744,51628
8744,86939
8744,104804
8744,235570
231985,236731
102531,258577
129141,270066
160837,170775
229724,217918
87980,208071
191192,110706
